Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-05-26 00:00:00 GMT,2021-05-25 19:00:00 GMT-05:00,Hashpower mining,0.00029081,38484.89,11.19
2021-05-26 00:00:00 GMT,2021-05-25 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000582,38484.89,-0.22
2021-05-27 00:00:00 GMT,2021-05-26 19:00:00 GMT-05:00,Hashpower mining,0.00025064,38339.03,9.61
2021-05-27 00:00:00 GMT,2021-05-26 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000501,38339.03,-0.19
2021-05-28 00:00:00 GMT,2021-05-27 19:00:00 GMT-05:00,Hashpower mining,0.00027697,39096.61,10.83
2021-05-28 00:00:00 GMT,2021-05-27 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000555,39096.61,-0.22
2021-05-29 00:00:00 GMT,2021-05-28 19:00:00 GMT-05:00,Hashpower mining,0.00027288,38490.81,10.50
2021-05-29 00:00:00 GMT,2021-05-28 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000544,38490.81,-0.21
2021-05-30 00:00:00 GMT,2021-05-29 19:00:00 GMT-05:00,Hashpower mining,0.00014929,35403.00,5.29
2021-05-30 00:00:00 GMT,2021-05-29 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000299,35403.00,-0.11
2021-05-31 00:00:00 GMT,2021-05-30 19:00:00 GMT-05:00,Hashpower mining,0.00015177,34883.37,5.29
2021-05-31 00:00:00 GMT,2021-05-30 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000305,34883.37,-0.11
2021-06-01 00:00:00 GMT,2021-05-31 19:00:00 GMT-05:00,Hashpower mining,0.00016314,35533.70,5.80
2021-06-01 00:00:00 GMT,2021-05-31 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000326,35533.70,-0.12
2021-06-02 00:00:00 GMT,2021-06-01 19:00:00 GMT-05:00,Hashpower mining,0.00016478,37230.18,6.13
2021-06-02 00:00:00 GMT,2021-06-01 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000330,37230.18,-0.12
2021-06-03 00:00:00 GMT,2021-06-02 19:00:00 GMT-05:00,Hashpower mining,0.00016330,36660.93,5.99
